=== DETAILED BONE HIERARCHY AND SCALES FOR CLASSIC CHISEL ===
- Chissel_classic_rigged- | Scale: (7.54, 7.54, 7.54) | Pos: (-160.36, -3.54, -1.17) | Rot (Euler): (0.00, 173.12, 0.00) | Rot (Quat): (0.00000, -0.99820, 0.00000, -0.05998)
  - Chassil | Scale: (1.00, 1.00, 1.00) | Pos: (0.00, 0.00, 0.00) | Rot (Euler): (0.00, 0.00, 0.00) | Rot (Quat): (0.00000, 0.00000, 0.00000, 1.00000)
    - polySurface2 | Scale: (1.00, 1.00, 1.00) | Pos: (0.08, 0.02, 0.00) | Rot (Euler): (0.00, 0.00, 0.00) | Rot (Quat): (0.00000, 0.00000, 0.00000, 1.00000)
    - polySurface20 | Scale: (1.00, 1.00, 1.00) | Pos: (0.00, 0.00, 0.00) | Rot (Euler): (0.00, 0.00, 0.00) | Rot (Quat): (0.00000, 0.00000, 0.00000, 1.00000)
    - polySurface23 | Scale: (1.00, 1.00, 1.00) | Pos: (0.00, 0.00, 0.00) | Rot (Euler): (0.00, 0.00, 0.00) | Rot (Quat): (0.00000, 0.00000, 0.00000, 1.00000)
    - polySurface25 | Scale: (1.00, 1.00, 1.00) | Pos: (0.00, 0.00, 0.00) | Rot (Euler): (0.00, 0.00, 0.00) | Rot (Quat): (0.00000, 0.00000, 0.00000, 1.00000)
    - polySurface26 | Scale: (1.00, 1.00, 1.00) | Pos: (0.05, 0.00, 0.00) | Rot (Euler): (0.00, 90.00, 0.00) | Rot (Quat): (0.00000, 0.70711, 0.00000, 0.70711)
  - Root | Scale: (1.00, 1.00, 1.00) | Pos: (0.00, 0.02, 0.00) | Rot (Euler): (354.19, 95.81, 270.00) | Rot (Quat): (-0.54805, 0.50000, -0.44681, 0.50000)
    - No_need | Scale: (1.00, 1.00, 1.00) | Pos: (-0.08, 0.00, 0.00) | Rot (Euler): (0.00, 180.00, 248.31) | Rot (Quat): (0.82750, -0.56146, 0.00000, 0.00000)
      - Up_down | Scale: (1.00, 1.00, 1.00) | Pos: (-0.12, 0.00, 0.00) | Rot (Euler): (1.57, 183.49, 179.83) | Rot (Quat): (-0.99944, -0.00192, 0.03049, -0.01362)
        - Up_down | Scale: (1.00, 1.00, 1.00) | Pos: (-0.34, 0.00, 0.00) | Rot (Euler): (7.32, 178.48, 270.00) | Rot (Quat): (-0.70500, 0.70620, -0.05451, -0.03578)
          - No_need | Scale: (1.00, 1.00, 1.00) | Pos: (-0.08, 0.00, 0.00) | Rot (Euler): (0.00, 0.00, 341.22) | Rot (Quat): (0.00000, 0.00000, -0.16320, 0.98659)
            - Extend | Scale: (1.00, 1.00, 1.00) | Pos: (-0.09, -0.23, 0.00) | Rot (Euler): (0.00, 180.00, 284.03) | Rot (Quat): (-0.61547, 0.78816, 0.00000, 0.00000)
